nome,valor_hora,horas_trabalhadas
Angelico Banting,92.82,27
Hedvig Prattin,41.22,37
Rubi Watton,1.19,44
Oralle Asher,26.61,37
Angelika Lacer,22.42,66
Cami Wallworth,35.51,37
Trevar Breheny,21.04,60
Townie Blewis,24.4,4
Kip McAnellye,61.21,41
Dari Whittingham,97.62,4
Marleen Vynehall,12.33,3
Eyde Pietrusiak,33.73,38
Rosie Ritch,63.9,64
Caleb Weddeburn,42.78,11
Codee Fraczkiewicz,66.23,75
Madlen Prestwich,26.96,85
Lurline Blare,16.85,16
Cameron Ash,13.22,24
Tricia Drynan,37.08,63
Seline Elcomb,36.76,81
Dolley Greed,70.96,33
Kristos Clowes,22.98,48
Heinrik McCart,74.11,5
Nari Rexworthy,86.5,46
Em Giacomello,92.09,73
Constantine Hackett,57.82,22
Valentin Assad,33.91,35
Lloyd Skillern,97.47,66
Conway Hukins,55.48,55
Anders Tiron,72.16,82
Desi Keetch,42.86,72
Valry Kennler,7.98,19
Fletcher Van der Beek,8.35,38
Moises Hindes,15.29,96
Kliment Atcherley,56.44,59
Hersch Ludwig,86.41,28
Moina Domleo,53.09,87
Koenraad Waskett,84.97,20
Hilly Laible,84.77,55
Alia Lampert,47.7,69
Gerard Camous,16.99,17
Patton Giacobillo,27.51,41
Emmerich Benezeit,15.66,56
Ozzy Kahan,39.08,79
Casandra Carthew,26.68,22
Bartolemo Romi,36.67,82
Thoma Malinowski,68.46,91
Palm Morfett,4.7,37
Roger Marconi,96.42,46
Dylan Oldford,80.14,100
Rosco Allwell,65.77,81
Sile Giamelli,87.59,93
Franky Juarez,7.87,1
Ashil Ivanonko,28.08,62
Gwennie O'Toole,52.44,99
Linn Reichelt,59.51,17
Roobbie Reglar,16.12,41
Siffre Merigon,44.15,5
Rafaela Newbatt,94.82,71
Leroy Seppey,42.49,99
Karee Leindecker,79.13,57
Siouxie Shannon,47.19,68
Sisile Shuttleworth,44.17,67
Edie Bricket,27.25,35
Andre Davidow,40.88,48
Gunther Minico,73.02,75
Zorina Ernke,49.05,27
Christoforo Tubb,12.86,14
Rhys Goublier,46.27,20
Lucinda Brame,92.03,94
Miller Grimsditch,41.56,10
Darrick Utting,82.99,81
Janella Ockwell,54.62,55
Marylynne Drogan,21.3,72
Darya Titford,99.03,91
Faina Whitters,18.98,90
Cecilio Varsey,64.64,13
Hana Potte,66.11,84
Faustina Smartman,49.54,89
Tamarra Reith,81.44,44
Man Honniebal,56.78,46
Lucila Dikelin,9.33,3
Maryanna Branchet,37.78,4
